"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","SINGLE_CHOICE_CONFLICT_REVIEW","q3","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","SINGLE_CHOICE_CONFLICT_REVIEW","q6","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","SINGLE_CHOICE_CONFLICT_REVIEW","q7","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_008.png","inputs\MX-M3658N_20260803_172528_008.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_008.png","SINGLE_CHOICE_CONFLICT_REVIEW","q8","ABCD","A","0.000","REVIEW","single_choice_conflict","gap,delta_from_blank","0.00","","1.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","ID_REVIEW","id2","","3","0.428","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.14","adaptive_max_mean","0.572","0.100","0.472","2.134","0.000","0.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","ID_REVIEW","id3","","0","0.419","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.10","adaptive_max_mean","0.581","0.000","0.403","1.552","0.000","0.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","ID_REVIEW","id4","","0","0.349","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.75","adaptive_max_mean","0.651","0.000","0.465","2.102","0.000","0.000"
"MX-M3658N_20260803_172528_009.png","inputs\MX-M3658N_20260803_172528_009.pdf","outputs\new-inputs-20260803-172528\CheckedOMRs\MX-M3658N_20260803_172528_009.png","ID_REVIEW","id5","","6","0.800","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","4.00","","0.200","-0.027","0.382","0.932","0.000","0.000"
